draw_size,best_of,rel_match_elo_pre,rel_serve_elo_pre,rel_return_elo_pre,rel_rank_points,rel_age,rel_ht,rel_ace_rate_52w,rel_df_rate_52w,rel_1stIn_pct_52w,rel_1stWon_pct_52w,rel_2ndWon_pct_52w,rel_bp_saved_pct_52w,rel_bp_converted_pct_52w,rel_career_matches,rel_surface_matches,rel_h2h_win_diff,h2h_matches,rel_return_elo_x_clay,rel_serve_elo_x_grass,surface=CLAY,surface=GRASS,surface=HARD,tourney_level=A,tourney_level=C,tourney_level=D,tourney_level=F,tourney_level=G,tourney_level=M,tourney_level=O,round=0,round=1,round=2,round=3,round=4,round=5,round=6,round=7,target
32.0,3,19.7353714029839,17.4262445720467,-11.238438332457235,511.0,-0.5,-8.0,0.0322309091732536,0.0116615532420234,-0.035317525232814,0.0365064931147064,-0.0116134328214632,0.0138273471959672,-0.0121242088607594,23.0,29.0,0,0,-0.0,0.0,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1
32.0,3,-46.04195230757341,1.4624673024711683,-3.225527550464676,81.0,-10.1,3.0,-0.0124357119897139,0.0233486017357762,-0.1175466088074573,0.0217485462876194,-0.0006682740672991,-0.0170121577888567,0.0209039166288613,13.0,15.0,-2,2,-0.0,0.0,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0
32.0,3,-100.41050450966212,-28.756658647619588,9.922058958067282,-1550.0,-8.2,-13.0,-0.1199589360586234,-0.0025051494739186,-0.0378636495486335,-0.1114345424690251,-0.0510700811905632,-0.0545881210551868,0.0213017252288353,-26.0,-9.0,0,0,0.0,-0.0,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1
32.0,3,-52.535941564822224,-13.437137550868783,19.99999848313496,-1003.0,-10.400000000000002,-2.0,-0.0070950793489407,0.0118020144780086,-0.01799819412059,-0.0248143255016782,0.01067224075174,-0.0262296858071506,-0.0204900992671898,-52.0,-29.0,0,0,0.0,-0.0,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1
32.0,3,89.01346517616184,8.504050588421933,3.384779126586864,463.0,-3.5,-8.0,0.0116298439109309,0.0090635310306778,-0.0646380409733342,0.0269252825956747,-0.0126892211888162,0.0119047619047619,0.0093359112611877,14.0,18.0,2,2,0.0,0.0,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1
32.0,3,-22.818091006028222,-31.09486285893422,16.89105279323917,-1340.0,7.399999999999999,-5.0,-0.0989805778122904,0.007844396009083,-0.0107825056181097,-0.0730369463008664,-0.0362394222497848,-0.0289251781472683,0.0208251473477406,-14.0,-17.0,0,0,0.0,-0.0,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0
32.0,3,-35.92872335220477,22.783932097541083,-20.13436569589112,148.0,1.2999999999999972,0.0,0.0186578921775213,-0.0098937768124398,-0.0271192228309613,0.0104979815333456,0.0523971432619149,0.0037422037422036,-0.017139423076923,10.0,9.0,1,1,-0.0,0.0,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1
32.0,3,213.0647840682343,47.24309711283036,-10.853028473049562,4714.0,-1.8999999999999984,8.0,0.0481787915876932,0.0270693114137809,0.0093627738389824,0.0990071963740122,0.0004427577987198,0.06742729540657,-0.0113416320885201,58.0,43.0,0,0,-0.0,0.0,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1
32.0,3,-6.871683821001852,-3.2952363098677324,0.0197725570687907,-54.0,-1.099999999999998,-5.0,-0.0247980087121429,-0.0028350924663184,-0.03109137613692,-0.0214642647759334,-0.0069880798373682,-0.0306607574536663,-0.0136131789357596,4.0,2.0,0,0,0.0,-0.0,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
32.0,3,10.516374798574589,22.18258274045229,-3.8798835113452697,779.0,-6.5,13.0,0.0809904543784613,0.0094703042861081,0.0632248390238354,0.0362066920501609,0.0089623754781735,0.017148509421397,-0.0197985681888923,-6.0,9.0,1,1,-0.0,0.0,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
32.0,3,130.86172628292297,11.954171842441838,11.758308748568652,4158.0,3.700000000000003,3.0,0.030588559551234,0.0102787209889128,0.0468647225381181,0.0310161180854059,-0.015805974396274,0.0396902788419121,-0.0055620181703711,3.0,5.0,1,1,0.0,0.0,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
32.0,3,-49.39812208288208,-22.88713598920549,12.134958537556486,-765.0,-6.800000000000001,-2.0,-0.0501189971034813,-0.004210099072007,0.0109196907920225,-0.0556493417718269,0.0018146286990506,-0.0528830579850988,0.010717454308866,-32.0,-22.0,0,0,0.0,-0.0,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0
32.0,3,-108.30100992007192,0.3103892928677396,-7.350293505003492,-3140.0,-4.0,2.0,0.0677745657185573,-0.0001225345412534,0.0077274129215393,0.0120799328035932,0.017897711471157,-0.0429075333837238,-0.0102694924123495,-17.0,-9.0,-1,1,-0.0,0.0,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1
32.0,3,75.08551743041039,23.11751601434344,0.1297986053405111,1000.0,-3.0,8.0,0.0692543645605053,0.0038947832452441,0.048598552512845,0.0576569427467811,0.0283503374249428,-0.0108270108270107,-0.0043872477332552,2.0,7.0,1,1,0.0,0.0,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1
32.0,3,15.599628362926296,14.192934249384509,-2.542195262898304,-1614.0,-5.299999999999997,0.0,0.0267588265875955,0.0105742053773898,-0.0488707783505694,0.0350163667221067,0.0139006720687783,0.0275221736916851,-0.0453940444499474,-5.0,5.0,0,0,-0.0,0.0,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1
32.0,3,42.230454646454746,7.648021671690003,-1.6452840436168117,125.0,-2.8000000000000007,12.0,0.0035408348200865,0.0012985279188304,0.0178428904704597,-0.0076413582311732,-0.0145198374190292,0.010234634438456,0.0054139596868232,29.0,15.0,0,0,-0.0,0.0,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1
32.0,3,25.69947045856543,10.024478874883016,-4.627870604517739,540.0,1.3999999999999986,13.0,0.0179426149744404,0.0078564845790725,0.051951553213083,0.0067376199655347,-0.0104957134368899,0.0205897546276366,-0.0194061257891045,23.0,7.0,0,0,-0.0,0.0,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1
32.0,3,53.27157162088179,1.9599220048844472,10.11478112554846,-1071.0,-2.299999999999997,-5.0,0.0030132906561891,-0.0010733288696089,0.0276286712106852,0.0093556423002924,-0.0178204086178332,0.0220973139963958,0.0038101026156471,-20.0,-1.0,-2,2,0.0,0.0,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1
